"","qseqid","taxon"
"65","ASV168","Sebastes polyspinis"
"66","ASV17","Sebastes proriger"
"67","ASV170","Sebastes paucispinis"
"68","ASV172","Sebastes variabilis"
"69","ASV173","Sebastes nebulosus"
"70","ASV174","Sebastes wilsoni"
"71","ASV175","Sebastes maliger"
"72","ASV176","Sebastes wilsoni"
"73","ASV178","Sebastes aleutianus"
"74","ASV18","Sebastes rosaceus"
"75","ASV180","Sebastes borealis"
"76","ASV181","Sebastes polyspinis"
"77","ASV182","Sebastes wilsoni"
"78","ASV185","Sebastes melanostictus"
"79","ASV186","Sebastes borealis"
"80","ASV187","Sebastes diaconus"
"81","ASV188","Sebastes nebulosus"
"82","ASV189","Sebastes pinniger"
"83","ASV19","Sebastes proriger"
"84","ASV192","Sebastes variabilis"
"85","ASV193","Sebastes babcocki"
"86","ASV194","Sebastes diaconus"
"87","ASV195","Sebastes diaconus"
"88","ASV196","Sebastes constellatus"
"89","ASV197","Sebastes emphaeus"
"90","ASV199","Sebastes variabilis"
"91","ASV2","Sebastes glaucus"
"92","ASV20","Sebastes zacentrus"
"93","ASV200","Sebastes zacentrus"
"94","ASV201","Sebastes melanops"
"95","ASV202","Sebastes polyspinis"
"96","ASV203","Sebastes zacentrus"
"97","ASV205","Sebastes babcocki"
"98","ASV206","Sebastes melanostomus"
"99","ASV207","Sebastes diaconus"
"100","ASV21","Sebastes nigrocinctus"
"101","ASV210","Sebastes borealis"
"102","ASV211","Sebastes diaconus"
"103","ASV213","Sebastes crameri"
"104","ASV214","Sebastes polyspinis"
"105","ASV215","Sebastes pinniger"
"106","ASV218","Sebastes proriger"
"107","ASV219","Sebastes zacentrus"
"108","ASV22","Sebastes brevispinis"
"109","ASV224","Sebastes ciliatus"
"110","ASV225","Sebastes melanostomus"
"111","ASV227","Sebastes variabilis"
"112","ASV228","Sebastes nebulosus"
"113","ASV229","Sebastes proriger"
"114","ASV230","Sebastes proriger"
"115","ASV231","Sebastes polyspinis"
"116","ASV232","Sebastes melanostomus"
"117","ASV233","Sebastes zacentrus"
"118","ASV234","Sebastes glaucus"
"119","ASV239","Sebastes auriculatus"
"120","ASV24","Sebastes saxicola"
"121","ASV240","Sebastes elongatus"
"122","ASV241","Sebastes moseri"
"123","ASV242","Sebastes carnatus"
"124","ASV243","Sebastes polyspinis"
"125","ASV244","Sebastes variabilis"
"126","ASV246","Sebastes reedi"
"127","ASV249","Sebastes elongatus"
"128","ASV251","Sebastes melanostomus"
"129","ASV252","Sebastes elongatus"
"130","ASV254","Sebastes lentiginosus"
"131","ASV257","Sebastes melanops"
"132","ASV258","Sebastes babcocki"
"133","ASV259","Sebastes diaconus"
"134","ASV26","Sebastes paucispinis"
"135","ASV260","Sebastes maliger"
"136","ASV261","Sebastes polyspinis"
"137","ASV262","Sebastes flavidus"
"138","ASV263","Sebastes pinniger"
"139","ASV264","Sebastes babcocki"
"140","ASV265","Sebastes saxicola"
"141","ASV266","Sebastes brevispinis"
"142","ASV267","Sebastes helvomaculatus"
"143","ASV268","Sebastes brevispinis"
"144","ASV269","Sebastes diaconus"
"145","ASV27","Sebastes saxicola"
"146","ASV270","Sebastes babcocki"
"147","ASV271","Sebastes helvomaculatus"
"148","ASV272","Sebastes crameri"
"149","ASV28","Sebastes babcocki"
"150","ASV29","Sebastes pinniger"
"151","ASV3","Sebastes reedi"
"152","ASV30","Sebastes brevispinis"
"153","ASV31","Sebastes paucispinis"
"154","ASV32","Sebastes melanostomus"
"155","ASV33","Sebastes wilsoni"
"156","ASV34","Sebastes melanostomus"
"157","ASV35","Sebastes paucispinis"
"158","ASV36","Sebastes helvomaculatus"
"159","ASV37","Sebastes zacentrus"
"160","ASV38","Sebastes crameri"
"161","ASV39","Sebastes alutus"
"162","ASV4","Sebastes elongatus"
"163","ASV40","Sebastes goodei"
"164","ASV41","Sebastes moseri"
"165","ASV42","Sebastes babcocki"
"166","ASV43","Sebastes rosaceus"
"167","ASV44","Sebastes babcocki"
"168","ASV45","Sebastes saxicola"
"169","ASV46","Sebastes goodei"
"170","ASV47","Sebastes polyspinis"
"171","ASV48","Sebastes chlorostictus"
"172","ASV49","Sebastes variabilis"
"173","ASV5","Sebastes auriculatus"
"174","ASV51","Sebastes borealis"
"175","ASV52","Sebastes wilsoni"
"176","ASV53","Sebastes zacentrus"
"177","ASV55","Sebastes zacentrus"
"178","ASV56","Sebastes chlorostictus"
"179","ASV57","Sebastes glaucus"
"180","ASV58","Sebastes goodei"
"181","ASV59","Sebastes reedi"
"182","ASV6","Sebastes crameri"
"183","ASV60","Sebastes wilsoni"
"184","ASV61","Sebastes crameri"
"185","ASV64","Sebastes variabilis"
"186","ASV65","Sebastes chlorostictus"
"187","ASV66","Sebastes elongatus"
"188","ASV67","Sebastes variabilis"
"189","ASV68","Sebastes zacentrus"
"190","ASV69","Sebastes helvomaculatus"
"191","ASV7","Sebastes babcocki"
"192","ASV70","Sebastes aleutianus"
"193","ASV71","Sebastes variegatus"
"194","ASV73","Sebastes miniatus"
"195","ASV74","Sebastes melanostomus"
"196","ASV75","Sebastes miniatus"
"197","ASV76","Sebastes diaconus"
"198","ASV78","Sebastes alutus"
"199","ASV79","Sebastes borealis"
"200","ASV8","Sebastes helvomaculatus"
"201","ASV80","Sebastes maliger"
"202","ASV82","Sebastes diaconus"
"203","ASV83","Sebastes diaconus"
"204","ASV84","Sebastes maliger"
"205","ASV87","Sebastes ciliatus"
"206","ASV88","Sebastes crameri"
"207","ASV89","Sebastes flavidus"
"208","ASV9","Sebastes pinniger"
"209","ASV90","Sebastes ciliatus"
"210","ASV91","Sebastes serranoides"
"211","ASV92","Sebastes serranoides"
"212","ASV95","Sebastes miniatus"
"213","ASV97","Sebastes carnatus"
"214","ASV98","Sebastes alutus"
"215","ASV99","Sebastes melanops"
"216","ASV157","Sebates_ev"
"217","ASV162","Sebates_ev"
"218","ASV164","Sebates_ev"
"219","ASV165","Sebates_ev"
"220","ASV169","Sebates_ev"
"221","ASV217","Sebates_ev"
"222","ASV223","Sebates_ev"
"223","ASV23","Sebates_ev"
"224","ASV238","Sebates_ev"
"225","ASV245","Sebates_ev"
"226","ASV250","Sebates_ev"
"227","ASV54","Sebates_ev"
"228","ASV62","Sebates_ev"
"229","ASV72","Sebates_ev"
